label,red_mean,red_min,red_max,green_mean,green_min,green_max,blue_mean,blue_min,blue_max
cloudy,164.343,157,175,155.006,149,166,145.097,138,156
cloudy,160.913,85,224,152.586,85,221,142.476,78,211
cloudy,173.717,127,216,158.145,113,203,137.805,97,184
cloudy,172.166,167,182,165.582,161,173,157.3,153,165
cloudy,194.375,111,220,178.334,103,195,165.451,96,189
cloudy,168.704,160,178,157.074,149,163,141.978,133,149
cloudy,192.573,182,199,184.3,176,190,174.126,167,180
cloudy,167.342,153,181,153.195,139,168,140.151,126,155
cloudy,119.387,101,133,116.51,104,129,108.538,97,121
cloudy,135.51,128,157,130.865,124,149,125.478,119,140
cloudy,138.596,132,146,129.925,124,137,120.728,114,128
cloudy,155.588,145,168,136.212,125,148,119.888,110,132
cloudy,203.832,115,225,190.811,111,208,181.921,101,208
cloudy,188.98,107,248,182.765,102,239,174.253,100,239
cloudy,138.49,129,147,128.286,121,136,118.705,112,126
cloudy,145.738,68,193,138.428,75,187,130.452,72,180
cloudy,180.869,169,188,175.637,166,181,166.953,158,173
cloudy,127.017,118,138,117.339,111,125,109.01,103,116
cloudy,171.195,163,183,160.945,154,171,147.329,139,156
cloudy,135.303,127,145,125.601,120,133,115.858,111,123
cloudy,191.812,184,197,183.922,177,189,173.014,166,179
cloudy,124.2,83,175,115.569,84,167,107.398,80,157
cloudy,175.267,170,187,169.233,165,179,161.157,157,171
cloudy,187.971,87,252,179.654,86,239,170.896,80,242
cloudy,190.938,102,240,182.491,102,226,175.979,97,227
cloudy,136.775,131,143,116.017,112,121,102.041,98,107
cloudy,192.475,177,210,185.748,173,204,176.041,162,193
cloudy,187.258,96,233,176.797,90,226,163.465,85,210
cloudy,139.14,134,144,132.216,128,137,122.37,119,127
cloudy,148.946,81,240,141.989,83,235,130.659,81,221
cloudy,130.85,96,212,120.104,91,204,108.634,84,191
cloudy,120.15,76,154,110.036,77,142,103.081,76,128
cloudy,119.85,59,192,105.805,60,178,94.731,60,160
cloudy,163.584,61,216,151.501,62,199,137.402,60,190
cloudy,139.546,134,146,131.145,125,136,118.423,114,123
cloudy,162.371,149,174,154.421,144,164,142.942,133,151
cloudy,188.492,175,205,183.488,172,199,175.35,164,190
cloudy,169.861,159,173,156.329,150,159,143.792,138,148
cloudy,179.299,144,199,165.306,128,186,152.485,118,174
cloudy,145.45,97,197,136.22,93,188,125.46,89,175
cloudy,208.073,174,235,194.004,160,216,174.692,140,213
cloudy,164.786,154,174,153.546,144,161,138.823,129,147
cloudy,177.606,138,216,169.293,129,213,159.096,119,202
cloudy,138.475,134,146,128.861,123,134,119.915,115,125
cloudy,127.231,120,137,118.268,113,127,110.314,105,119
cloudy,155.131,146,169,145.681,136,157,134.836,126,146
cloudy,156.395,148,174,146.679,139,163,133.212,126,146
cloudy,139.213,132,146,134.269,129,139,127.045,123,131
cloudy,134.268,125,144,124.455,115,134,115.728,105,124
cloudy,234.994,226,239,219.095,215,221,211.7,198,219
cloudy,133.91,94,164,124.736,91,154,114.573,83,144
cloudy,150.433,133,169,139.186,122,158,127.425,112,145
cloudy,217.452,207,227,211.237,200,223,199.212,187,211
cloudy,204.297,194,213,196.687,187,205,183.225,174,192
cloudy,194.734,133,228,180.199,119,215,159.571,101,197
cloudy,149.011,139,166,141.844,132,158,129.986,119,146
cloudy,178.924,100,222,167.687,93,211,153.004,86,197
cloudy,147.299,114,178,132.479,101,164,118.347,92,150
cloudy,145.764,136,159,136.953,128,148,126.768,119,137
cloudy,183.424,73,240,173.118,75,225,161.141,70,222
cloudy,169.19,158,188,161.389,152,178,151.528,142,168
cloudy,169.897,155,183,163.498,149,176,154.825,141,166
cloudy,151.069,134,164,141.945,128,153,132.553,121,143
cloudy,176.685,132,204,165.664,120,195,152.003,107,182
cloudy,142.674,132,168,137.899,128,160,131.611,123,151
cloudy,159.738,151,169,149.619,144,157,136.481,130,142
cloudy,134.69,129,141,114.224,110,119,100.386,97,105
cloudy,159.536,155,164,136.441,132,140,118.285,115,122
cloudy,171.064,74,255,164.173,78,252,153.695,78,246
cloudy,143.474,137,149,135.793,130,140,123.248,118,128
cloudy,166.231,78,197,152.545,76,183,135.572,72,167
cloudy,134.41,125,164,127.526,119,156,119.699,112,146
cloudy,159.846,156,165,136.274,131,141,117.995,113,122
cloudy,154.019,146,167,144.791,137,158,135.071,128,148
cloudy,157.072,148,165,151.638,144,159,143.664,135,154
cloudy,152.259,145,165,141.734,135,151,126.309,121,134
cloudy,119.593,66,152,111.398,71,141,102.808,71,130
cloudy,215.991,97,242,203.696,94,226,197.512,86,227
cloudy,116.374,97,140,108.594,94,131,102.504,90,122
cloudy,139.369,97,178,129.212,93,167,118.191,89,152
cloudy,129.248,123,135,120.978,116,127,109.226,104,114
cloudy,152.625,147,164,142.704,138,152,128.376,123,138
cloudy,139.932,130,186,136.074,129,177,130.621,124,169
cloudy,135.024,125,159,130.905,121,153,125.89,116,145
cloudy,129.148,122,143,119.813,115,133,110.996,106,123
cloudy,181.966,176,188,173.22,168,179,160.469,155,165
cloudy,146.962,141,153,125.708,121,131,110.809,106,116
cloudy,144.908,139,151,137.402,133,142,125.618,120,132
cloudy,160.499,132,231,154.332,128,226,145.464,122,216
cloudy,191.275,76,248,180.411,76,241,166.089,73,229
cloudy,180.436,173,192,170.069,164,181,156.99,152,167
cloudy,173.624,157,211,168.526,153,208,161.349,144,199
cloudy,222.482,211,236,218.787,207,231,210.756,199,226
cloudy,144.013,134,153,136.14,128,143,127.475,119,135
cloudy,130.8,122,144,127.024,119,138,121.094,114,132
cloudy,135.941,130,142,126.121,121,132,117.386,112,128
cloudy,143.613,137,157,136.266,130,149,124.772,118,138
cloudy,166.897,158,179,158.303,149,170,148.08,140,160
cloudy,171.336,162,184,162.63,156,173,153.548,147,162
cloudy,202.156,199,205,186.093,184,188,167.648,164,171
cloudy,155.13,140,173,141.499,128,157,124.425,113,140
cloudy,163.165,153,170,155.147,145,160,145.671,135,152
cloudy,110.306,74,147,104.503,79,137,99.388,77,131
cloudy,150.172,143,164,140.811,134,153,130.805,125,144
cloudy,174.712,168,183,166.445,159,175,157.563,149,167
cloudy,149.183,139,159,143.77,137,153,135.345,129,143
cloudy,173.175,72,237,167.376,73,231,159.403,70,229
cloudy,202.344,197,207,198.994,194,203,190.375,184,195
cloudy,190.548,79,249,181.699,83,232,174.885,78,237
cloudy,149.812,139,165,138.561,128,153,123.43,113,138
cloudy,139.445,133,147,117.311,114,124,93.784,90,101
cloudy,145.555,136,154,140.602,134,147,133.48,127,138
cloudy,140.363,134,147,131.35,127,136,122.309,117,127
cloudy,142.392,135,162,135.128,129,154,126.173,120,146
cloudy,148.046,141,152,125.879,122,130,110.181,106,114
cloudy,146.343,143,151,129.656,127,132,111.429,108,115
cloudy,159.525,150,167,150.5,139,157,138.162,126,144
cloudy,90.121,63,137,88.379,68,120,80.504,66,105
cloudy,193.909,156,226,186.502,146,218,176.035,136,210
cloudy,182.808,167,201,173.485,160,189,162.776,149,176
cloudy,200.349,183,212,194.391,177,206,184.543,168,195
cloudy,149.036,128,173,139.11,118,162,124.227,102,147
cloudy,149.127,117,205,140.201,110,195,129.409,103,181
cloudy,126.113,116,192,106.231,101,164,93.429,88,136
cloudy,129.497,120,138,119.23,112,127,109.054,103,116
cloudy,207.202,188,222,202.874,183,219,193.835,174,209
cloudy,182.571,172,198,174.2,166,186,163.824,156,174
cloudy,155.802,148,164,146.408,140,153,136.366,129,143
cloudy,132.389,60,177,125.494,66,171,117.774,65,163
cloudy,158.261,113,228,145.224,104,213,130.009,96,196
cloudy,219.633,207,231,210.283,199,221,194.862,184,205
cloudy,141.656,133,168,134.509,127,161,126.319,120,152
cloudy,170.228,157,185,162.518,150,177,152.41,141,168
cloudy,124.44,118,133,113.437,107,120,103.737,98,110
cloudy,202.204,185,220,196.745,180,215,187.354,172,204
cloudy,223.193,130,249,202.736,110,227,195.072,51,218
cloudy,203.004,185,215,193.638,174,206,180.357,159,193
cloudy,150.43,140,161,141.445,133,150,130.859,122,139
cloudy,168.179,153,179,160.669,149,171,150.71,139,161
cloudy,185.667,101,255,175.7,94,251,165.704,91,250
cloudy,192.911,147,246,179.003,135,227,167.868,125,228
cloudy,153.169,144,169,138.861,130,154,126.582,118,141
cloudy,213.681,207,220,202.139,196,208,185.346,179,191
cloudy,167.202,160,176,157.571,152,165,144.399,138,152
cloudy,159.048,151,182,147.815,141,170,134.142,128,156
cloudy,169.005,149,191,155.272,138,171,139.043,123,155
cloudy,156.202,150,162,142.723,137,147,130.663,126,136
cloudy,151.311,142,176,139.56,130,161,124.013,115,142
cloudy,182.059,168,194,172.007,158,184,158.632,144,171
cloudy,150.57,112,186,143.772,107,181,135.516,102,174
cloudy,203.816,188,224,199.543,183,223,191.329,176,215
cloudy,142.383,135,153,133.345,127,143,123.642,117,133
cloudy,175.344,158,191,161.591,145,175,145.292,130,159
cloudy,184.769,131,205,171.6,113,194,158.096,103,180
cloudy,158.114,149,167,144.056,134,152,130.998,122,139
cloudy,182.347,84,228,169.093,83,207,153.533,75,200
cloudy,173.08,166,211,151.653,145,196,128.534,120,176
cloudy,189.8,117,249,178.984,107,243,163.88,100,231
cloudy,145.658,127,163,137.232,119,154,128.166,110,146
cloudy,170.365,118,210,154.971,105,195,134.116,90,175
cloudy,146.017,135,165,131.319,120,150,119.372,108,138
cloudy,126.967,90,156,114.431,85,139,103.185,79,126
cloudy,160.951,148,179,151.874,140,170,142.041,130,160
cloudy,164.526,157,172,155.359,150,161,142.672,138,149
cloudy,170.042,162,177,162.894,157,169,152.774,146,160
cloudy,159.767,112,213,150.394,106,205,138.754,99,191
cloudy,174.618,152,201,165.837,143,195,155.469,134,185
cloudy,145.448,141,150,128.523,125,132,110.62,107,114
cloudy,135.4,127,151,125.393,118,140,116.467,109,130
cloudy,136.318,128,145,126.49,119,136,117.468,110,128
cloudy,168.639,86,247,161.173,87,231,152.719,81,237
cloudy,134.228,79,202,123.215,80,190,112.079,78,174
cloudy,142.262,122,162,132.754,113,153,118.891,99,139
cloudy,144.449,138,152,126.717,122,134,113.833,109,120
cloudy,217.54,209,225,213.023,204,222,203.366,195,213
cloudy,144.407,137,162,136.195,130,153,127.21,120,143
cloudy,129.905,124,136,110.216,106,115,94.061,89,101
cloudy,151.128,145,158,136.209,130,142,124.046,117,131
cloudy,154.759,147,162,149.009,144,156,140.957,136,146
cloudy,162.688,156,169,148.501,142,155,137.398,131,143
cloudy,190.203,186,195,179.039,173,184,166.633,160,174
cloudy,213.773,203,220,208.295,196,217,197.599,185,207
cloudy,145.645,138,153,141.314,134,149,134.924,128,142
cloudy,165.602,157,173,156.056,148,163,144.263,135,151
cloudy,183.692,174,191,175.648,167,183,167.94,160,174
cloudy,154.397,114,211,143.186,103,202,131.514,94,189
cloudy,139.167,124,153,130.143,118,143,118.324,106,132
cloudy,138.55,129,150,128.649,122,145,118.265,113,133
cloudy,169.04,163,176,155.037,150,162,142.259,137,149
cloudy,178.15,167,200,167.732,158,190,154.088,144,177
cloudy,197.184,181,218,191.665,176,214,182.349,166,203
cloudy,153.638,150,157,129.467,126,133,111.993,108,117
cloudy,150.788,145,156,135.518,133,139,117.067,113,121
cloudy,171.767,117,205,161.334,109,196,150.9,99,186
cloudy,173.571,170,178,148.579,145,152,128.027,123,132
cloudy,151.193,144,161,136.505,129,146,124.963,118,135
cloudy,146.886,133,163,132.175,120,149,121.505,111,138
cloudy,156.932,143,163,135.749,123,141,117.77,108,123
cloudy,206.322,187,253,192.008,172,246,175.312,157,233
cloudy,146.327,120,173,134.845,109,163,123.176,100,150
cloudy,126.744,121,132,107.176,103,114,91.795,87,97
cloudy,148.469,111,156,131.952,102,137,114.274,96,120
cloudy,228.389,135,253,219.432,124,243,205.56,115,236
cloudy,135.735,125,146,132.247,122,141,126.536,118,134
cloudy,141.814,135,151,123.735,119,132,110.706,103,118
cloudy,168.5,103,213,156.207,98,201,140.72,92,186
cloudy,128.694,115,140,121.694,109,131,114.972,103,124
cloudy,126.705,120,138,116.197,110,126,106.708,101,117
cloudy,148.672,65,212,136.608,69,201,124.829,69,188
cloudy,137.031,131,143,130.751,124,136,125.007,118,131
cloudy,145.36,120,219,129.99,111,211,118.056,104,199
cloudy,166.179,161,173,158.773,155,162,146.853,143,150
cloudy,144.424,139,153,139.45,135,145,131.523,127,137
cloudy,156.233,142,174,147.34,135,164,137.432,126,153
cloudy,128.034,120,132,106.035,102,110,89.643,86,93
cloudy,185.07,98,255,178.025,93,250,167.144,86,250
cloudy,174.609,167,188,156.604,149,171,137.338,128,152
cloudy,155.356,148,164,149.093,144,155,138.453,134,144
cloudy,156.595,92,188,142.384,86,175,129.996,79,162
cloudy,129.118,80,159,120.904,82,150,112.621,78,140
cloudy,151.389,144,160,138.043,130,147,127.726,119,136
cloudy,164.811,157,177,156.639,152,167,145.298,140,155
cloudy,159.958,153,170,150.637,145,159,140.514,134,150
cloudy,185.325,181,196,175.5,171,186,163.857,159,174
cloudy,134.645,84,188,124.291,85,163,109.182,75,140
cloudy,139.256,134,145,130.981,127,136,118.456,114,124
cloudy,125.032,119,133,109.385,104,115,98.925,94,105
cloudy,135.425,122,146,125.912,115,137,112.463,102,122
cloudy,147.64,138,160,135.876,127,148,120.625,113,131
cloudy,142.304,135,151,137.262,132,144,129.709,125,136
cloudy,150.074,137,163,143.504,133,152,134.502,125,143
cloudy,156.087,149,162,142.677,136,149,131.104,125,137
cloudy,139.933,134,145,119.007,114,125,105.819,100,112
cloudy,160.157,150,182,152.575,145,170,143.135,136,159
cloudy,148.614,139,159,135.167,127,143,122.249,116,129
cloudy,176.317,166,186,170.803,161,179,162.533,153,172
cloudy,164.709,158,173,155.473,149,164,145.537,139,154
cloudy,211.676,105,240,194.19,100,216,184.105,91,209
cloudy,156.287,150,163,147.219,142,155,138.589,132,146
cloudy,155.752,151,161,134.252,129,139,118.733,115,124
cloudy,178.387,167,186,167.194,157,173,153.439,143,160
cloudy,177.941,172,184,172.312,166,177,163.729,159,169
cloudy,177.148,141,205,166.871,130,195,153.432,119,181
cloudy,139.582,126,152,130.954,120,142,122.659,113,131
cloudy,163.18,153,172,156.428,147,163,146.804,138,153
cloudy,146.727,85,210,138.339,86,204,128.959,82,193
cloudy,178.304,161,190,169.679,153,182,159.657,143,173
cloudy,134.016,121,152,120.744,110,137,109.205,100,124
cloudy,226.76,182,235,211.71,167,217,197.095,148,217
cloudy,215.054,179,237,202.552,164,220,184.307,144,210
cloudy,138.692,135,160,116.673,114,139,99.386,96,120
cloudy,146.97,140,155,132.094,125,141,119.66,112,128
cloudy,213.949,182,231,201.239,169,221,182.121,149,204
cloudy,143.31,94,197,130.718,88,188,115.215,77,172
cloudy,140.233,133,149,130.938,124,139,122.033,115,131
cloudy,156.995,79,215,145.278,78,203,133.012,74,188
cloudy,168.011,162,176,158.004,153,166,145.545,141,151
cloudy,158.019,150,171,147.953,140,161,135.213,128,148
cloudy,134.151,103,183,124.052,97,173,113.939,92,159
cloudy,134.955,131,139,113.897,111,118,99.599,96,103
cloudy,149.374,115,218,139.801,109,212,130.697,102,201
cloudy,140.065,126,159,117.93,113,137,103.535,99,120
cloudy,138.085,131,145,117.173,112,123,103.349,98,110
cloudy,232.464,213,237,216.529,201,219,209.596,181,216
cloudy,145.604,138,152,123.906,118,129,105.012,99,110
cloudy,188.791,77,251,182.836,87,241,172.839,85,238
cloudy,154.847,135,165,147.752,131,157,136.595,121,146
cloudy,159.58,150,172,145.4,137,157,133.362,125,145
cloudy,148.21,124,181,138.174,118,171,125.247,106,157
cloudy,188.536,100,244,175.802,91,228,162.266,82,223
cloudy,147.878,142,153,128.443,122,134,111.503,104,119
cloudy,144.635,137,152,135.888,130,141,127.057,122,132
cloudy,134.746,128,144,125.862,120,134,116.841,111,124
cloudy,146,140,171,139.283,133,163,131.136,125,155
cloudy,236.424,193,255,228.097,183,247,216.846,170,244
cloudy,156.188,148,163,147.348,141,152,137.399,131,143
cloudy,145.334,137,153,136.313,129,143,126.946,120,133
cloudy,147.569,141,154,138.938,132,144,129.694,121,135
cloudy,131.068,124,138,121.029,116,127,110.974,106,116
cloudy,119.586,73,182,109.788,77,166,101.013,74,150
cloudy,177.998,109,229,167.791,101,222,154.62,94,206
cloudy,146.445,138,153,129.683,120,133,112.309,104,116
cloudy,216.153,170,237,203.923,154,225,185.259,135,210
cloudy,182.155,171,211,175.874,167,205,166.804,158,194
cloudy,201.705,153,244,195.344,148,240,185.042,140,234
cloudy,149.071,141,162,140.508,133,153,131.568,124,143
cloudy,212.034,203,220,206.211,196,215,195.63,186,204
cloudy,143.693,136,152,134.931,128,145,126.515,120,137
cloudy,137.724,131,146,128.085,123,135,120.065,115,127
cloudy,203.654,185,222,198.788,181,219,189.475,172,210
cloudy,186.815,62,255,177.45,68,253,165.402,68,251
cloudy,204.778,130,221,187.673,119,200,177.225,105,197
cloudy,161.588,151,170,155.581,147,162,146.887,139,154
cloudy,159.823,150,177,148.848,140,164,133.853,126,148
cloudy,153.514,145,160,139.326,130,146,126.587,119,133
cloudy,159.145,155,163,136.143,132,140,118.085,114,123
cloudy,186.147,171,192,176.884,163,182,167.18,154,173
cloudy,137.742,115,150,128.09,106,141,115.216,94,128
cloudy,129.289,116,144,119.852,108,131,109.495,100,119
cloudy,171.167,161,176,158.723,153,164,147.598,143,155
cloudy,127.888,123,133,105.002,101,109,88.366,84,93
cloudy,173.119,159,189,163.647,153,178,153.1,143,166
cloudy,142.335,112,186,127.935,100,159,110.275,87,139
cloudy,158.284,150,184,132.808,127,162,116.837,110,149
cloudy,158.404,141,162,134.742,119,140,117.125,105,122
cloudy,136.395,129,145,115.654,110,125,101.853,97,111
cloudy,172.111,167,177,150.916,147,156,128.235,124,134
cloudy,138.018,131,145,129.883,124,137,117.81,112,124
cloudy,146.995,87,208,137.678,86,200,125.661,79,185
cloudy,174.8,90,251,167.931,94,250,157.769,91,243
cloudy,148.426,144,152,131.913,129,135,113.424,110,117
cloudy,111.296,104,117,96.247,92,100,87.905,84,92
cloudy,145.106,135,151,130.225,122,135,118.968,112,125
cloudy,131.5,81,204,121.011,83,192,110.423,78,177
cloudy,173.638,165,181,166.938,160,172,157.558,151,163
cloudy,127.311,60,170,120.875,67,163,113.675,67,153
cloudy,152.343,145,160,137.737,130,144,124.788,118,132
cloudy,178.014,174,183,155.55,152,159,136.235,132,141
cloudy,208.587,80,245,197.553,83,231,190.637,77,233
cloudy,144.44,136,155,136.987,130,147,125.808,119,136
cloudy,136.347,131,142,115.526,112,119,100.864,96,105
cloudy,181.938,172,192,170.584,162,181,157.047,149,168
cloudy,152.852,137,173,143.359,126,163,128.498,113,149
cloudy,195.904,183,218,187.889,176,208,174.46,164,192
cloudy,184.69,123,215,171.201,109,204,157.844,99,190
cloudy,176.232,172,180,149.839,147,153,127.548,124,132
cloudy,227.704,96,249,217.895,95,237,207.424,85,238
cloudy,187.086,85,254,178.78,84,242,170.844,77,244
cloudy,138.663,131,149,128.956,121,137,118.699,112,126
cloudy,131.103,124,141,124.169,117,133,117.428,111,127
cloudy,182.009,148,228,172.765,140,221,159.106,130,204
cloudy,167.657,162,182,159.927,156,171,148.223,144,158
cloudy,146.017,141,151,129.376,125,133,114.09,109,118
cloudy,148.789,141,158,141.629,135,149,131.075,124,138
cloudy,240.011,232,245,237.896,230,242,233.59,223,239
cloudy,144.36,135,154,136.228,127,146,126.901,118,136
cloudy,154.535,147,162,145.178,139,152,132.335,127,138
cloudy,189.342,169,203,179.482,159,194,165.892,145,180
cloudy,158.212,153,170,136.579,131,151,120.306,113,136
cloudy,149.495,116,228,139.22,107,224,129.287,99,212
cloudy,138.852,117,155,117.832,99,138,103.994,90,123
cloudy,136.883,131,143,128.49,125,133,116.298,112,121
cloudy,162.995,93,207,151.854,89,197,137.77,86,183
cloudy,160.089,148,171,150.938,141,159,139.301,131,147
cloudy,160.275,98,190,152.421,94,183,143.548,88,175
cloudy,181.326,172,190,174.483,167,183,164.75,157,173
cloudy,132.967,126,140,112.829,107,119,99.49,94,105
cloudy,130.16,123,138,119.343,114,126,110.387,104,117
cloudy,128.035,90,154,118.383,88,144,106.417,81,130
cloudy,137.915,129,150,128.139,119,139,118.841,111,130
cloudy,158.781,154,167,134.71,132,142,116.178,112,124
cloudy,138.181,80,162,126.748,81,149,113.892,72,136
cloudy,165.769,128,237,152.505,119,213,139.704,109,205
cloudy,175.206,171,180,146.298,143,150,122.384,118,126
cloudy,170.235,86,232,159.488,86,216,144.307,78,207
cloudy,160.641,154,168,151.224,145,158,140.92,134,148
cloudy,140.928,133,149,133.438,127,140,121.542,114,129
cloudy,127.816,92,163,116.949,92,152,101.221,79,135
cloudy,149.278,143,156,140.371,135,146,130.631,125,137
cloudy,127.154,86,158,118.538,87,150,109.945,81,139
cloudy,145.293,140,151,136.42,132,142,126.772,122,131
cloudy,153.877,146,162,144.49,137,152,134.585,127,142
cloudy,183.53,165,206,170.462,153,193,154.675,137,179
cloudy,113.343,67,165,105.613,71,157,99.237,67,148
cloudy,123.16,119,133,106.974,102,116,96.567,92,104
cloudy,151.083,136,164,144.192,131,156,134.65,123,144
cloudy,155.733,147,163,142.065,133,150,129.97,122,138
cloudy,240.177,169,249,227.441,152,234,217.175,135,231
cloudy,72.676,65,110,75.155,71,96,75.374,72,89
cloudy,148.981,142,155,135.942,129,142,124.789,119,130
cloudy,129.815,122,138,119.486,114,125,110.194,104,116
cloudy,147.762,129,154,133.47,121,138,118.832,111,123
cloudy,159.206,154,164,134.879,130,139,116.621,112,121
cloudy,176.527,163,192,171.314,160,186,163.493,153,177
cloudy,152.012,139,157,124.792,115,128,107.236,97,112
cloudy,165.002,157,176,155.176,148,167,144.37,136,156
cloudy,192.878,79,255,180.355,72,243,169.296,69,244
cloudy,197.722,117,244,187.165,112,236,173.697,105,223
cloudy,141.925,136,151,135.452,131,143,128.941,124,134
cloudy,175.142,160,187,168.523,155,180,159.783,144,171
cloudy,175.55,143,206,163.765,132,197,149.746,118,183
cloudy,129.56,115,141,122.628,110,134,115.567,103,126
cloudy,145.024,133,162,136.804,127,153,127.647,119,143
cloudy,155.589,98,210,142.592,89,199,126.567,79,183
cloudy,141.522,134,149,132.533,126,140,123.67,117,130
cloudy,185.06,92,227,169.926,89,203,155.945,80,195
cloudy,148.615,132,166,135.967,121,153,120.447,109,137
cloudy,188.443,127,238,173.684,117,221,159.473,99,205
cloudy,164.276,156,171,150.648,144,156,137.991,131,144
cloudy,159.871,154,166,146.106,141,152,134.563,128,141
cloudy,146.302,142,152,138.701,135,143,126.219,122,131
cloudy,222.076,200,251,212.049,189,241,199.437,177,235
cloudy,172.198,161,182,161.715,150,172,147.31,136,157
cloudy,200.404,140,242,188.416,130,225,172.872,117,220
cloudy,164.962,98,206,150.173,90,193,135.751,84,178
cloudy,219.286,110,227,199.852,99,204,194.757,88,199
cloudy,169.413,161,179,160.205,152,170,149.712,141,160
cloudy,130.057,123,139,122.382,117,128,110.775,105,118
